arm,query_mode,traversal,scope,metric,value,n
C,legacy,legacy_symmetric,type=CH,zero_width_rate,0.0,392
C,legacy,legacy_symmetric,type=CH,invalid_span_count,0,392
C,legacy,legacy_symmetric,type=CH,mean_pred_span_width,4.292979336734694,392
C,legacy,legacy_symmetric,type=CH,median_retrieval_ms,14.384,392
C,legacy,legacy_symmetric,type=CH,p95_retrieval_ms,19.978500000000004,392
C,legacy,legacy_symmetric,type=CH,mean_ppr_calls,3.857142857142857,392
C,legacy,legacy_symmetric,type=CH,max_ppr_calls,5,392
C,legacy,legacy_symmetric,type=CH,avg_context_frames,7.99234693877551,392
C,legacy,legacy_symmetric,type=CH,max_context_frames_observed,8,392
C,legacy,legacy_symmetric,type=TN,n,704,704
C,legacy,legacy_symmetric,type=TN,gold_frame_at_4,0.29261363636363635,704
C,legacy,legacy_symmetric,type=TN,anchor_in_gold_at_1,0.1846590909090909,704
C,legacy,legacy_symmetric,type=TN,mIoP,0.23316175852272727,704
